id,kind,evidence_id,stripe_charge_id,source_staged_payment_id,gross_amount,fee_amount,net_amount,currency,received_date,lifecycle
"pu_ch_1HtG0MAhXr9x8yiRjLcCp02r","stripe_charge","ch_1HtG0MAhXr9x8yiRjLcCp02r","ch_1HtG0MAhXr9x8yiRjLcCp02r","","100.00","4.40","95.60","USD","2020-11-30","received"
"pu_ch_1HtIdxAhXr9x8yiRYkLACz46","stripe_charge","ch_1HtIdxAhXr9x8yiRYkLACz46","ch_1HtIdxAhXr9x8yiRYkLACz46","","26.19","1.37","24.82","USD","2020-11-30","received"
"pu_ch_1HtOwaAhXr9x8yiRWUz9kOIV","stripe_charge","ch_1HtOwaAhXr9x8yiRWUz9kOIV","ch_1HtOwaAhXr9x8yiRWUz9kOIV","","50.00","2.35","47.65","USD","2020-11-30","received"
"pu_ch_1HtaUQAhXr9x8yiRXIivBR4A","stripe_charge","ch_1HtaUQAhXr9x8yiRXIivBR4A","ch_1HtaUQAhXr9x8yiRXIivBR4A","","26.19","1.37","24.82","USD","2020-12-01","received"
"pu_ch_1HtaxfAhXr9x8yiR1fgNBHKG","stripe_charge","ch_1HtaxfAhXr9x8yiR1fgNBHKG","ch_1HtaxfAhXr9x8yiR1fgNBHKG","","259.11","10.92","248.19","USD","2020-12-01","received"
"pu_ch_1Htb4aAhXr9x8yiR5zl1B7f4","stripe_charge","ch_1Htb4aAhXr9x8yiR5zl1B7f4","ch_1Htb4aAhXr9x8yiR5zl1B7f4","","1553.11","63.98","1489.13","USD","2020-12-01","received"
"pu_ch_1HtbMRAhXr9x8yiRWJnEUpgv","stripe_charge","ch_1HtbMRAhXr9x8yiRWJnEUpgv","ch_1HtbMRAhXr9x8yiRWJnEUpgv","","259.11","10.92","248.19","USD","2020-12-01","received"
"pu_ch_1Htbv0AhXr9x8yiRvRT2XkMo","stripe_charge","ch_1Htbv0AhXr9x8yiRvRT2XkMo","ch_1Htbv0AhXr9x8yiRvRT2XkMo","","103.83","4.56","99.27","USD","2020-12-01","received"
"pu_ch_1HtbzbAhXr9x8yiRwpeUVrze","stripe_charge","ch_1HtbzbAhXr9x8yiRwpeUVrze","ch_1HtbzbAhXr9x8yiRwpeUVrze","","50.00","2.35","47.65","USD","2020-12-01","received"
"pu_ch_1Htc52AhXr9x8yiRFOEzzsU2","stripe_charge","ch_1Htc52AhXr9x8yiRFOEzzsU2","ch_1Htc52AhXr9x8yiRFOEzzsU2","","103.83","4.56","99.27","USD","2020-12-01","received"
"pu_ch_1HtcFZAhXr9x8yiRFQwsTiG9","stripe_charge","ch_1HtcFZAhXr9x8yiRFQwsTiG9","ch_1HtcFZAhXr9x8yiRFQwsTiG9","","103.83","4.56","99.27","USD","2020-12-01","received"
"pu_ch_1HtcuOAhXr9x8yiRRpfCmVNH","stripe_charge","ch_1HtcuOAhXr9x8yiRRpfCmVNH","ch_1HtcuOAhXr9x8yiRRpfCmVNH","","300.00","12.60","287.40","USD","2020-12-01","received"
"pu_ch_1Htdo6AhXr9x8yiRSWfW74Tk","stripe_charge","ch_1Htdo6AhXr9x8yiRSWfW74Tk","ch_1Htdo6AhXr9x8yiRSWfW74Tk","","26.19","1.37","24.82","USD","2020-12-01","received"
"pu_ch_1HtfKGAhXr9x8yiRmb8xKKhr","stripe_charge","ch_1HtfKGAhXr9x8yiRmb8xKKhr","ch_1HtfKGAhXr9x8yiRmb8xKKhr","","250.00","10.55","239.45","USD","2020-12-01","received"
"pu_ch_1HtfVuAhXr9x8yiRjZAtIUlZ","stripe_charge","ch_1HtfVuAhXr9x8yiRjZAtIUlZ","ch_1HtfVuAhXr9x8yiRjZAtIUlZ","","50.00","2.35","47.65","USD","2020-12-01","received"
"pu_ch_1HtgWAAhXr9x8yiRsKrLF1T8","stripe_charge","ch_1HtgWAAhXr9x8yiRsKrLF1T8","ch_1HtgWAAhXr9x8yiRsKrLF1T8","","26.19","1.37","24.82","USD","2020-12-01","received"
"pu_ch_1HtgahAhXr9x8yiRM9lATA0n","stripe_charge","ch_1HtgahAhXr9x8yiRM9lATA0n","ch_1HtgahAhXr9x8yiRM9lATA0n","","103.83","4.56","99.27","USD","2020-12-01","received"
"pu_ch_1HthIqAhXr9x8yiRFmaF3ude","stripe_charge","ch_1HthIqAhXr9x8yiRFmaF3ude","ch_1HthIqAhXr9x8yiRFmaF3ude","","50.00","2.35","47.65","USD","2020-12-01","received"
"pu_ch_1HtiazAhXr9x8yiRr94g9zNC","stripe_charge","ch_1HtiazAhXr9x8yiRr94g9zNC","ch_1HtiazAhXr9x8yiRr94g9zNC","","26.19","1.37","24.82","USD","2020-12-01","received"
"pu_ch_1HtkCDAhXr9x8yiRqyDYTt0i","stripe_charge","ch_1HtkCDAhXr9x8yiRqyDYTt0i","ch_1HtkCDAhXr9x8yiRqyDYTt0i","","21.01","1.16","19.85","USD","2020-12-01","received"
"pu_ch_1HtkNiAhXr9x8yiR4Qm5wryu","stripe_charge","ch_1HtkNiAhXr9x8yiR4Qm5wryu","ch_1HtkNiAhXr9x8yiR4Qm5wryu","","103.83","4.56","99.27","USD","2020-12-01","received"
"pu_ch_1Htl3KAhXr9x8yiRhH1kJAE6","stripe_charge","ch_1Htl3KAhXr9x8yiRhH1kJAE6","ch_1Htl3KAhXr9x8yiRhH1kJAE6","","100.00","4.40","95.60","USD","2020-12-01","received"
"pu_ch_1HtlW1AhXr9x8yiRKQ5qT5PW","stripe_charge","ch_1HtlW1AhXr9x8yiRKQ5qT5PW","ch_1HtlW1AhXr9x8yiRKQ5qT5PW","","100.00","4.40","95.60","USD","2020-12-01","received"
"pu_ch_1HtlaiAhXr9x8yiRjctzrcsd","stripe_charge","ch_1HtlaiAhXr9x8yiRjctzrcsd","ch_1HtlaiAhXr9x8yiRjctzrcsd","","100.00","4.40","95.60","USD","2020-12-01","received"
"pu_ch_1HtlxEAhXr9x8yiRsVsTkXDh","stripe_charge","ch_1HtlxEAhXr9x8yiRsVsTkXDh","ch_1HtlxEAhXr9x8yiRsVsTkXDh","","26.19","1.37","24.82","USD","2020-12-01","received"
"pu_ch_1HtmGmAhXr9x8yiRR0ktUKNi","stripe_charge","ch_1HtmGmAhXr9x8yiRR0ktUKNi","ch_1HtmGmAhXr9x8yiRR0ktUKNi","","250.00","10.55","239.45","USD","2020-12-01","received"
"pu_ch_1HtmRGAhXr9x8yiRMxE6bTDh","stripe_charge","ch_1HtmRGAhXr9x8yiRMxE6bTDh","ch_1HtmRGAhXr9x8yiRMxE6bTDh","","25.00","1.33","23.67","USD","2020-12-01","received"
"pu_ch_1Htmc6AhXr9x8yiRS8zVzEXg","stripe_charge","ch_1Htmc6AhXr9x8yiRS8zVzEXg","ch_1Htmc6AhXr9x8yiRS8zVzEXg","","26.19","1.37","24.82","USD","2020-12-01","received"
"pu_ch_1Htu0gAhXr9x8yiRmCVb54jM","stripe_charge","ch_1Htu0gAhXr9x8yiRmCVb54jM","ch_1Htu0gAhXr9x8yiRmCVb54jM","","50.00","2.35","47.65","USD","2020-12-02","received"
"pu_ch_1HtvpTAhXr9x8yiRBwK3TUhk","stripe_charge","ch_1HtvpTAhXr9x8yiRBwK3TUhk","ch_1HtvpTAhXr9x8yiRBwK3TUhk","","26.19","1.37","24.82","USD","2020-12-02","received"
"pu_ch_1HtxctAhXr9x8yiRa0yMlTtT","stripe_charge","ch_1HtxctAhXr9x8yiRa0yMlTtT","ch_1HtxctAhXr9x8yiRa0yMlTtT","","103.83","4.56","99.27","USD","2020-12-02","received"
"pu_ch_1HtyIHAhXr9x8yiRvm1KgHEV","stripe_charge","ch_1HtyIHAhXr9x8yiRvm1KgHEV","ch_1HtyIHAhXr9x8yiRvm1KgHEV","","52.07","2.43","49.64","USD","2020-12-02","received"
"pu_ch_1HvpIbAhXr9x8yiR2WtuSesI","stripe_charge","ch_1HvpIbAhXr9x8yiR2WtuSesI","ch_1HvpIbAhXr9x8yiR2WtuSesI","","259.11","10.92","248.19","USD","2020-12-07","received"
"pu_ch_1HvttyAhXr9x8yiR4G8rawAc","stripe_charge","ch_1HvttyAhXr9x8yiR4G8rawAc","ch_1HvttyAhXr9x8yiR4G8rawAc","","25.00","1.33","23.67","USD","2020-12-07","received"
"pu_ch_1HwB02AhXr9x8yiRtTAs1kLs","stripe_charge","ch_1HwB02AhXr9x8yiRtTAs1kLs","ch_1HwB02AhXr9x8yiRtTAs1kLs","","259.11","10.92","248.19","USD","2020-12-08","received"
"pu_ch_1I0w5JAhXr9x8yiR4RVonoKs","stripe_charge","ch_1I0w5JAhXr9x8yiR4RVonoKs","ch_1I0w5JAhXr9x8yiR4RVonoKs","","517.91","21.53","496.38","USD","2020-12-21","received"
"pu_ch_1I0ybNAhXr9x8yiR73JwEriA","stripe_charge","ch_1I0ybNAhXr9x8yiR73JwEriA","ch_1I0ybNAhXr9x8yiR73JwEriA","","500.00","20.80","479.20","USD","2020-12-21","received"
"pu_ch_1I3o4FAhXr9x8yiRLIvDs12k","stripe_charge","ch_1I3o4FAhXr9x8yiRLIvDs12k","ch_1I3o4FAhXr9x8yiRLIvDs12k","","103.83","4.56","99.27","USD","2020-12-29","received"
"pu_ch_1I4YyxAhXr9x8yiRXwzAjtlU","stripe_charge","ch_1I4YyxAhXr9x8yiRXwzAjtlU","ch_1I4YyxAhXr9x8yiRXwzAjtlU","","500.00","20.80","479.20","USD","2020-12-31","received"
"pu_ch_1I5bz3AhXr9x8yiRy5sRkjdg","stripe_charge","ch_1I5bz3AhXr9x8yiRy5sRkjdg","ch_1I5bz3AhXr9x8yiRy5sRkjdg","","26.19","1.37","24.82","USD","2021-01-03","received"
"pu_ch_1I7NuzAhXr9x8yiRJvTgdE4J","stripe_charge","ch_1I7NuzAhXr9x8yiRJvTgdE4J","ch_1I7NuzAhXr9x8yiRJvTgdE4J","","25.00","1.33","23.67","USD","2021-01-08","received"
"pu_ch_1IGmEFAhXr9x8yiRcEfRCYIm","stripe_charge","ch_1IGmEFAhXr9x8yiRcEfRCYIm","ch_1IGmEFAhXr9x8yiRcEfRCYIm","","517.91","21.53","496.38","USD","2021-02-03","received"
"pu_ch_1IHAJJAhXr9x8yiRRVD9Z0Jq","stripe_charge","ch_1IHAJJAhXr9x8yiRRVD9Z0Jq","ch_1IHAJJAhXr9x8yiRRVD9Z0Jq","","3.00","0.43","2.57","USD","2021-02-04","received"
"pu_ch_1IIcv2AhXr9x8yiRmR4rB1vc","stripe_charge","ch_1IIcv2AhXr9x8yiRmR4rB1vc","ch_1IIcv2AhXr9x8yiRmR4rB1vc","","25.00","1.33","23.67","USD","2021-02-08","received"
"pu_ch_1ISmKpAhXr9x8yiRYTlX6Ek5","stripe_charge","ch_1ISmKpAhXr9x8yiRYTlX6Ek5","ch_1ISmKpAhXr9x8yiRYTlX6Ek5","","25.00","1.33","23.67","USD","2021-03-08","received"
"pu_ch_1ITMAjAhXr9x8yiRJpbcMjVj","stripe_charge","ch_1ITMAjAhXr9x8yiRJpbcMjVj","ch_1ITMAjAhXr9x8yiRJpbcMjVj","","15.84","0.95","14.89","USD","2021-03-10","received"
"pu_ch_1Ie0pKAhXr9x8yiR4jlukA2f","stripe_charge","ch_1Ie0pKAhXr9x8yiR4jlukA2f","ch_1Ie0pKAhXr9x8yiR4jlukA2f","","25.00","1.33","23.67","USD","2021-04-08","received"
"pu_ch_1IorliAhXr9x8yiRG48YW3BO","stripe_charge","ch_1IorliAhXr9x8yiRG48YW3BO","ch_1IorliAhXr9x8yiRG48YW3BO","","25.00","1.33","23.67","USD","2021-05-08","received"
"pu_ch_1J06tLAhXr9x8yiRw61Qivtz","stripe_charge","ch_1J06tLAhXr9x8yiRw61Qivtz","ch_1J06tLAhXr9x8yiRw61Qivtz","","25.00","1.33","23.67","USD","2021-06-08","received"
"pu_ch_1JAxp8AhXr9x8yiRp0AF9UKO","stripe_charge","ch_1JAxp8AhXr9x8yiRp0AF9UKO","ch_1JAxp8AhXr9x8yiRp0AF9UKO","","25.00","1.33","23.67","USD","2021-07-08","received"
"pu_ch_3JMFTvAhXr9x8yiR05k39R8y","stripe_charge","ch_3JMFTvAhXr9x8yiR05k39R8y","ch_3JMFTvAhXr9x8yiR05k39R8y","","25.00","1.33","23.67","USD","2021-08-08","received"
"pu_ch_3JO93xAhXr9x8yiR1aogGH4m","stripe_charge","ch_3JO93xAhXr9x8yiR1aogGH4m","ch_3JO93xAhXr9x8yiR1aogGH4m","","5176.29","212.53","4963.76","USD","2021-08-13","received"
"pu_ch_3JXUKOAhXr9x8yiR1HMlsoJu","stripe_charge","ch_3JXUKOAhXr9x8yiR1HMlsoJu","ch_3JXUKOAhXr9x8yiR1HMlsoJu","","25.00","1.33","23.67","USD","2021-09-08","received"
